,Nome,Turno,Modalidade,Mínimo,Máximo
0,ADMINISTRAÇÃO,Matutino,1.1,"555,74","555,74"
1,ADMINISTRAÇÃO,Matutino,1.2,"644,02","697,04"
2,ADMINISTRAÇÃO,Matutino,2.1,"558,34","558,34"
3,ADMINISTRAÇÃO,Matutino,2.2,"697,28","729,96"
4,ADMINISTRAÇÃO,Matutino,3.1,"517,70","517,70"
5,ADMINISTRAÇÃO,Matutino,3.2,"657,62","702,42"
6,ADMINISTRAÇÃO,Matutino,4.2,"705,16","737,18"
7,ADMINISTRAÇÃO,Matutino,"Amplaconcorrência","734,24","758,16"
8,ADMINISTRAÇÃO,Noturno,1.1,"502,02","502,02"
9,ADMINISTRAÇÃO,Noturno,1.2,"649,54","687,02"
10,ADMINISTRAÇÃO,Noturno,2.1,"606,46","606,46"
11,ADMINISTRAÇÃO,Noturno,2.2,"683,24","728,52"
12,ADMINISTRAÇÃO,Noturno,3.1,"492,94","492,94"
13,ADMINISTRAÇÃO,Noturno,3.2,"658,60","709,26"
14,ADMINISTRAÇÃO,Noturno,4.2,"705,92","741,04"
15,ADMINISTRAÇÃO,Noturno,"Amplaconcorrência","722,34","776,78"
16,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"549,64","549,64"
17,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"627,76","645,98"
18,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"646,28","680,92"
19,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"539,28","539,28"
20,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"618,70","668,72"
21,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"666,14","710,70"
22,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,"Amplaconcorrência","691,06","710,90"
23,AGRONOMIA,Matutino,1.1,"494,24","494,24"
24,AGRONOMIA,Matutino,1.2,"604,88","636,62"
25,AGRONOMIA,Matutino,2.2,"627,98","674,66"
26,AGRONOMIA,Matutino,3.1,"451,40","451,40"
27,AGRONOMIA,Matutino,3.2,"592,94","607,52"
28,AGRONOMIA,Matutino,4.2,"637,14","649,68"
29,AGRONOMIA,Matutino,"Amplaconcorrência","656,08","713,90"
30,ANTROPOLOGIA,Noturno,1.1,"579,06","579,06"
31,ANTROPOLOGIA,Noturno,1.2,"595,70","663,60"
32,ANTROPOLOGIA,Noturno,2.2,"650,78","711,48"
33,ANTROPOLOGIA,Noturno,3.1,"668,92","668,92"
34,ANTROPOLOGIA,Noturno,3.2,"604,08","660,68"
35,ANTROPOLOGIA,Noturno,4.2,"674,50","713,50"
36,ANTROPOLOGIA,Noturno,"Amplaconcorrência","689,30","735,10"
37,AQUACULTURA,Matutino,1.1,"538,98","538,98"
38,AQUACULTURA,Matutino,1.2,"563,88","610,78"
39,AQUACULTURA,Matutino,2.2,"603,62","622,48"
40,AQUACULTURA,Matutino,3.2,"570,98","634,68"
41,AQUACULTURA,Matutino,4.2,"568,40","678,52"
42,AQUACULTURA,Matutino,"Amplaconcorrência","620,92","711,52"
43,ARQUITETURA E URBANISMO,Matutino,1.1,"552,94","552,94"
44,ARQUITETURA E URBANISMO,Matutino,1.2,"655,22","691,66"
45,ARQUITETURA E URBANISMO,Matutino,2.1,"552,10","552,10"
46,ARQUITETURA E URBANISMO,Matutino,2.2,"695,38","745,86"
47,ARQUITETURA E URBANISMO,Matutino,3.1,"361,28","361,28"
48,ARQUITETURA E URBANISMO,Matutino,3.2,"673,86","717,98"
49,ARQUITETURA E URBANISMO,Matutino,4.1,"526,66","526,66"
50,ARQUITETURA E URBANISMO,Matutino,4.2,"731,68","757,96"
51,ARQUITETURA E URBANISMO,Matutino,"Amplaconcorrência","748,32","795,34"
52,ARQUITETURA E URBANISMO,Noturno,1.1,"500,86","500,86"
53,ARQUITETURA E URBANISMO,Noturno,1.2,"653,56","703,86"
54,ARQUITETURA E URBANISMO,Noturno,2.1,"602,06","602,06"
55,ARQUITETURA E URBANISMO,Noturno,2.2,"690,78","710,46"
56,ARQUITETURA E URBANISMO,Noturno,3.1,"507,20","507,20"
57,ARQUITETURA E URBANISMO,Noturno,3.2,"675,46","707,62"
58,ARQUITETURA E URBANISMO,Noturno,4.1,"539,62","539,62"
59,ARQUITETURA E URBANISMO,Noturno,4.2,"730,68","758,50"
60,ARQUITETURA E URBANISMO,Noturno,"Amplaconcorrência","737,04","806,00"
61,ARQUIVOLOGIA,Noturno,1.2,"572,56","598,36"
62,ARQUIVOLOGIA,Noturno,2.2,"614,18","637,02"
