,Nome,Turno,Modalidade,Mínimo,Máximo
0,ADMINISTRAÇÃO,Matutino,1.1,"520,04","520,04"
1,ADMINISTRAÇÃO,Matutino,1.2,"642,08","674,66"
2,ADMINISTRAÇÃO,Matutino,2.1,"649,12","649,12"
3,ADMINISTRAÇÃO,Matutino,2.2,"698,38","719,48"
4,ADMINISTRAÇÃO,Matutino,3.1,"559,88","559,88"
5,ADMINISTRAÇÃO,Matutino,3.2,"652,60","678,40"
6,ADMINISTRAÇÃO,Matutino,4.2,"699,54","736,34"
7,ADMINISTRAÇÃO,Matutino,"Amplaconcorrência","737,12","787,06"
8,ADMINISTRAÇÃO,Noturno,1.1,"541,86","541,86"
9,ADMINISTRAÇÃO,Noturno,1.2,"649,58","678,86"
10,ADMINISTRAÇÃO,Noturno,2.1,"620,02","620,02"
11,ADMINISTRAÇÃO,Noturno,2.2,"679,36","690,86"
12,ADMINISTRAÇÃO,Noturno,3.1,"576,86","576,86"
13,ADMINISTRAÇÃO,Noturno,3.2,"660,60","701,70"
14,ADMINISTRAÇÃO,Noturno,4.2,"706,82","714,12"
15,ADMINISTRAÇÃO,Noturno,"Amplaconcorrência","721,10","774,82"
16,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"501,08","501,08"
17,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"620,42","643,58"
18,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"651,06","668,40"
19,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"466,56","466,56"
20,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"636,52","663,06"
21,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"672,24","693,80"
22,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,"Amplaconcorrência","682,36","720,64"
23,AGRONOMIA,Matutino,1.1,"573,14","573,14"
24,AGRONOMIA,Matutino,1.2,"607,06","654,46"
25,AGRONOMIA,Matutino,2.2,"647,92","656,52"
26,AGRONOMIA,Matutino,3.1,"513,34","513,34"
27,AGRONOMIA,Matutino,3.2,"597,48","635,36"
28,AGRONOMIA,Matutino,4.2,"657,64","700,44"
29,AGRONOMIA,Matutino,"Amplaconcorrência","666,62","706,38"
30,ANTROPOLOGIA,Noturno,1.1,"534,94","534,94"
31,ANTROPOLOGIA,Noturno,1.2,"616,72","692,32"
32,ANTROPOLOGIA,Noturno,2.2,"656,42","685,14"
33,ANTROPOLOGIA,Noturno,3.2,"635,28","657,72"
34,ANTROPOLOGIA,Noturno,4.2,"680,80","705,56"
35,ANTROPOLOGIA,Noturno,"Amplaconcorrência","693,48","735,84"
36,AQUACULTURA,Matutino,1.1,"434,74","434,74"
37,AQUACULTURA,Matutino,1.2,"596,44","648,82"
38,AQUACULTURA,Matutino,2.1,"464,68","464,68"
39,AQUACULTURA,Matutino,2.2,"614,60","641,48"
40,AQUACULTURA,Matutino,3.1,"543,70","543,70"
41,AQUACULTURA,Matutino,3.2,"595,16","640,34"
42,AQUACULTURA,Matutino,4.2,"645,66","671,62"
43,AQUACULTURA,Matutino,"Amplaconcorrência","642,46","727,08"
44,ARQUITETURA E URBANISMO,Matutino,1.1,"508,20","508,20"
45,ARQUITETURA E URBANISMO,Matutino,1.2,"656,58","686,62"
46,ARQUITETURA E URBANISMO,Matutino,2.1,"595,52","595,52"
47,ARQUITETURA E URBANISMO,Matutino,2.2,"705,40","751,44"
48,ARQUITETURA E URBANISMO,Matutino,3.1,"566,90","566,90"
49,ARQUITETURA E URBANISMO,Matutino,3.2,"680,90","715,80"
50,ARQUITETURA E URBANISMO,Matutino,4.1,"664,52","664,52"
51,ARQUITETURA E URBANISMO,Matutino,4.2,"739,72","790,68"
52,ARQUITETURA E URBANISMO,Matutino,"Amplaconcorrência","753,26","807,28"
53,ARQUITETURA E URBANISMO,Noturno,1.1,"581,44","581,44"
54,ARQUITETURA E URBANISMO,Noturno,1.2,"660,44","691,18"
55,ARQUITETURA E URBANISMO,Noturno,2.1,"679,02","679,02"
56,ARQUITETURA E URBANISMO,Noturno,2.2,"691,84","729,14"
57,ARQUITETURA E URBANISMO,Noturno,3.1,"597,76","597,76"
58,ARQUITETURA E URBANISMO,Noturno,3.2,"669,64","699,40"
59,ARQUITETURA E URBANISMO,Noturno,4.1,"645,38","645,38"
60,ARQUITETURA E URBANISMO,Noturno,4.2,"727,72","742,68"
