,Nome,Turno,Modalidade,Mínimo,Máximo
0,ADMINISTRAÇÃO,Matutino,1.1,"557,22","557,22"
1,ADMINISTRAÇÃO,Matutino,1.2,"670,72","676,42"
2,ADMINISTRAÇÃO,Matutino,2.1,"576,96","576,96"
3,ADMINISTRAÇÃO,Matutino,2.2,"692,18","707,46"
4,ADMINISTRAÇÃO,Matutino,3.1,"577,58","577,58"
5,ADMINISTRAÇÃO,Matutino,3.2,"685,68","709,74"
6,ADMINISTRAÇÃO,Matutino,4.2,"715,60","724,24"
7,ADMINISTRAÇÃO,Matutino,"Amplaconcorrência","750,70","803,30"
8,ADMINISTRAÇÃO,Noturno,1.1,"562,38","562,38"
9,ADMINISTRAÇÃO,Noturno,1.2,"684,54","698,76"
10,ADMINISTRAÇÃO,Noturno,2.1,"586,92","586,92"
11,ADMINISTRAÇÃO,Noturno,2.2,"705,30","714,22"
12,ADMINISTRAÇÃO,Noturno,3.1,"606,30","606,30"
13,ADMINISTRAÇÃO,Noturno,3.2,"684,10","697,68"
14,ADMINISTRAÇÃO,Noturno,4.2,"716,90","750,40"
15,ADMINISTRAÇÃO,Noturno,"Amplaconcorrência","741,46","788,08"
16,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"550,08","550,08"
17,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"641,06","687,80"
18,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"661,28","678,72"
19,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"579,78","579,78"
20,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"660,06","679,86"
21,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"683,84","699,78"
22,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,"Amplaconcorrência","711,62","753,14"
23,AGRONOMIA,Matutino,1.1,"480,32","480,32"
24,AGRONOMIA,Matutino,1.2,"623,64","719,04"
25,AGRONOMIA,Matutino,2.2,"641,58","663,82"
26,AGRONOMIA,Matutino,3.1,"535,08","535,08"
27,AGRONOMIA,Matutino,3.2,"628,94","667,82"
28,AGRONOMIA,Matutino,4.2,"660,96","681,48"
29,AGRONOMIA,Matutino,"Amplaconcorrência","671,66","734,68"
30,ANTROPOLOGIA,Noturno,1.1,"447,40","447,40"
31,ANTROPOLOGIA,Noturno,1.2,"641,96","666,72"
32,ANTROPOLOGIA,Noturno,2.2,"653,18","685,30"
33,ANTROPOLOGIA,Noturno,3.1,"539,04","539,04"
34,ANTROPOLOGIA,Noturno,3.2,"662,64","684,08"
35,ANTROPOLOGIA,Noturno,4.2,"691,42","702,70"
36,ANTROPOLOGIA,Noturno,"Amplaconcorrência","700,06","780,54"
37,AQUACULTURA,Matutino,1.2,"619,90","637,52"
38,AQUACULTURA,Matutino,2.1,"545,98","545,98"
39,AQUACULTURA,Matutino,2.2,"639,34","666,92"
40,AQUACULTURA,Matutino,3.1,"527,88","527,88"
41,AQUACULTURA,Matutino,3.2,"630,96","667,52"
42,AQUACULTURA,Matutino,4.2,"641,70","694,82"
43,AQUACULTURA,Matutino,"Amplaconcorrência","655,82","709,92"
44,ARQUITETURA E URBANISMO,Matutino,1.1,"590,40","590,40"
45,ARQUITETURA E URBANISMO,Matutino,1.2,"691,10","723,34"
46,ARQUITETURA E URBANISMO,Matutino,2.1,"665,36","665,36"
47,ARQUITETURA E URBANISMO,Matutino,2.2,"715,06","743,20"
48,ARQUITETURA E URBANISMO,Matutino,3.1,"593,28","593,28"
49,ARQUITETURA E URBANISMO,Matutino,3.2,"711,50","747,80"
50,ARQUITETURA E URBANISMO,Matutino,4.1,"650,98","650,98"
51,ARQUITETURA E URBANISMO,Matutino,4.2,"750,76","764,06"
52,ARQUITETURA E URBANISMO,Matutino,"Amplaconcorrência","763,36","803,56"
53,ARQUITETURA E URBANISMO,Noturno,1.1,"568,96","568,96"
54,ARQUITETURA E URBANISMO,Noturno,1.2,"685,58","725,96"
55,ARQUITETURA E URBANISMO,Noturno,2.1,"595,04","595,04"
56,ARQUITETURA E URBANISMO,Noturno,2.2,"717,68","738,06"
57,ARQUITETURA E URBANISMO,Noturno,3.1,"593,08","593,08"
58,ARQUITETURA E URBANISMO,Noturno,3.2,"694,16","737,22"
59,ARQUITETURA E URBANISMO,Noturno,4.1,"632,40","632,40"
60,ARQUITETURA E URBANISMO,Noturno,4.2,"737,34","744,28"
61,ARQUITETURA E URBANISMO,Noturno,"Amplaconcorrência","752,30","780,12"
62,ARQUIVOLOGIA,Noturno,1.1,"551,98","551,98"
63,ARQUIVOLOGIA,Noturno,1.2,"612,02","640,02"
64,ARQUIVOLOGIA,Noturno,2.2,"627,04","636,22"
65,ARQUIVOLOGIA,Noturno,3.1,"435,32","435,32"
66,ARQUIVOLOGIA,Noturno,3.2,"633,28","645,02"
67,ARQUIVOLOGIA,Noturno,4.2,"647,08","696,86"
68,ARQUIVOLOGIA,Noturno,"Amplaconcorrência","642,46","688,86"
69,BIBLIOTECONOMIA,Matutino,1.1,"591,10","591,10"
70,BIBLIOTECONOMIA,Matutino,1.2,"618,96","636,42"
71,BIBLIOTECONOMIA,Matutino,2.1,"487,16","487,16"
72,BIBLIOTECONOMIA,Matutino,2.2,"624,86","652,36"
73,BIBLIOTECONOMIA,Matutino,3.1,"543,38","543,38"
74,BIBLIOTECONOMIA,Matutino,3.2,"624,56","648,98"
75,BIBLIOTECONOMIA,Matutino,4.1,"401,52","401,52"
76,BIBLIOTECONOMIA,Matutino,4.2,"632,28","674,48"
77,BIBLIOTECONOMIA,Matutino,"Amplaconcorrência","645,24","735,42"
78,BIBLIOTECONOMIA,Noturno,1.1,"493,48","493,48"
79,BIBLIOTECONOMIA,Noturno,1.2,"618,88","629,04"
80,BIBLIOTECONOMIA,Noturno,2.2,"633,16","671,94"
81,BIBLIOTECONOMIA,Noturno,3.1,"436,28","436,28"
82,BIBLIOTECONOMIA,Noturno,3.2,"628,30","656,72"
83,BIBLIOTECONOMIA,Noturno,4.2,"634,00","649,84"
84,BIBLIOTECONOMIA,Noturno,"Amplaconcorrência","643,86","710,72"
85,BIOMEDICINA,Noturno,1.1,"595,26","595,26"
86,BIOMEDICINA,Noturno,1.2,"704,62","723,24"
87,BIOMEDICINA,Noturno,2.2,"725,24","750,16"
88,BIOMEDICINA,Noturno,3.1,"629,80","629,80"
89,BIOMEDICINA,Noturno,3.2,"714,42","732,66"
90,BIOMEDICINA,Noturno,4.2,"744,66","755,02"
91,BIOMEDICINA,Noturno,"Amplaconcorrência","758,82","788,28"
92,CIÊNCIA DA COMPUTAÇÃO,Matutino,1.1,"633,52","633,52"
93,CIÊNCIA DA COMPUTAÇÃO,Matutino,1.2,"705,08","727,46"
94,CIÊNCIA DA COMPUTAÇÃO,Matutino,2.1,"707,22","707,22"
95,CIÊNCIA DA COMPUTAÇÃO,Matutino,2.2,"727,48","760,12"
96,CIÊNCIA DA COMPUTAÇÃO,Matutino,3.1,"630,98","630,98"
97,CIÊNCIA DA COMPUTAÇÃO,Matutino,3.2,"713,36","763,10"
98,CIÊNCIA DA COMPUTAÇÃO,Matutino,4.1,"704,98","704,98"
99,CIÊNCIA DA COMPUTAÇÃO,Matutino,4.2,"759,94","779,96"
100,CIÊNCIA DA COMPUTAÇÃO,Matutino,"Amplaconcorrência","766,46","830,30"
101,CIÊNCIAS ATUARIAIS,Matutino,1.2,"643,18","662,46"
102,CIÊNCIAS ATUARIAIS,Matutino,2.2,"680,16","705,02"
103,CIÊNCIAS ATUARIAIS,Matutino,3.2,"641,22","668,32"
104,CIÊNCIAS ATUARIAIS,Matutino,4.2,"697,60","702,74"
105,CIÊNCIAS ATUARIAIS,Matutino,"Amplaconcorrência","712,10","748,98"
106,CIÊNCIAS BIOLÓGICAS,Matutino,1.1,"545,34","545,34"
107,CIÊNCIAS BIOLÓGICAS,Matutino,1.2,"662,72","708,52"
108,CIÊNCIAS BIOLÓGICAS,Matutino,2.1,"616,20","616,20"
109,CIÊNCIAS BIOLÓGICAS,Matutino,2.2,"693,92","730,98"
110,CIÊNCIAS BIOLÓGICAS,Matutino,3.1,"551,24","551,24"
111,CIÊNCIAS BIOLÓGICAS,Matutino,3.2,"665,42","729,40"
112,CIÊNCIAS BIOLÓGICAS,Matutino,4.1,"626,80","626,80"
113,CIÊNCIAS BIOLÓGICAS,Matutino,4.2,"719,98","742,12"
114,CIÊNCIAS BIOLÓGICAS,Matutino,"Amplaconcorrência","734,46","799,88"
115,CIÊNCIAS BIOLÓGICAS,Noturno,1.1,"541,42","541,42"
116,CIÊNCIAS BIOLÓGICAS,Noturno,1.2,"660,42","704,24"
117,CIÊNCIAS BIOLÓGICAS,Noturno,2.1,"554,14","554,14"
118,CIÊNCIAS BIOLÓGICAS,Noturno,2.2,"682,72","719,36"
119,CIÊNCIAS BIOLÓGICAS,Noturno,3.1,"569,32","569,32"
120,CIÊNCIAS BIOLÓGICAS,Noturno,3.2,"665,50","748,64"
121,CIÊNCIAS BIOLÓGICAS,Noturno,4.1,"581,06","581,06"
122,CIÊNCIAS BIOLÓGICAS,Noturno,4.2,"692,64","715,10"
123,CIÊNCIAS BIOLÓGICAS,Noturno,"Amplaconcorrência","713,10","761,72"
124,CIÊNCIAS CONTÁBEIS,Noturno,1.1,"565,18","565,18"
125,CIÊNCIAS CONTÁBEIS,Noturno,1.2,"674,94","696,84"
126,CIÊNCIAS CONTÁBEIS,Noturno,2.1,"581,26","581,26"
127,CIÊNCIAS CONTÁBEIS,Noturno,2.2,"694,70","718,78"
128,CIÊNCIAS CONTÁBEIS,Noturno,3.1,"515,20","515,20"
129,CIÊNCIAS CONTÁBEIS,Noturno,3.2,"685,62","710,22"
130,CIÊNCIAS CONTÁBEIS,Noturno,4.1,"612,68","612,68"
131,CIÊNCIAS CONTÁBEIS,Noturno,4.2,"708,16","722,74"
132,CIÊNCIAS CONTÁBEIS,Noturno,"Amplaconcorrência","714,00","752,88"
133,CIÊNCIAS DO ESTADO,Vespertino,1.2,"638,68","658,50"
134,CIÊNCIAS DO ESTADO,Vespertino,2.1,"518,16","518,16"
135,CIÊNCIAS DO ESTADO,Vespertino,2.2,"667,92","681,22"
136,CIÊNCIAS DO ESTADO,Vespertino,3.2,"650,12","679,70"
137,CIÊNCIAS DO ESTADO,Vespertino,4.2,"686,10","729,02"
138,CIÊNCIAS DO ESTADO,Vespertino,"Amplaconcorrência","705,82","736,46"
139,CIÊNCIAS ECONÔMICAS,Matutino,1.1,"570,98","570,98"
140,CIÊNCIAS ECONÔMICAS,Matutino,1.2,"690,48","742,84"
141,CIÊNCIAS ECONÔMICAS,Matutino,2.1,"563,30","563,30"
142,CIÊNCIAS ECONÔMICAS,Matutino,2.2,"705,36","737,02"
143,CIÊNCIAS ECONÔMICAS,Matutino,3.1,"681,98","681,98"
144,CIÊNCIAS ECONÔMICAS,Matutino,3.2,"687,44","735,24"
145,CIÊNCIAS ECONÔMICAS,Matutino,4.2,"734,92","758,08"
146,CIÊNCIAS ECONÔMICAS,Matutino,"Amplaconcorrência","762,44","791,30"
147,CIÊNCIAS SOCIAIS,Matutino,1.1,"486,62","486,62"
148,CIÊNCIAS SOCIAIS,Matutino,1.2,"647,24","688,34"
149,CIÊNCIAS SOCIAIS,Matutino,2.1,"581,30","581,30"
150,CIÊNCIAS SOCIAIS,Matutino,2.2,"672,28","703,74"
151,CIÊNCIAS SOCIAIS,Matutino,3.1,"579,72","579,72"
152,CIÊNCIAS SOCIAIS,Matutino,3.2,"655,40","712,38"
