,Nome,Turno,Modalidade,Mínimo,Máximo
0,ADMINISTRAÇÃO,Matutino,1.1,"523,80","523,80"
1,ADMINISTRAÇÃO,Matutino,1.2,"650,12","697,16"
2,ADMINISTRAÇÃO,Matutino,2.1,"609,16","609,16"
3,ADMINISTRAÇÃO,Matutino,2.2,"682,06","706,76"
4,ADMINISTRAÇÃO,Matutino,3.1,"559,86","559,86"
5,ADMINISTRAÇÃO,Matutino,3.2,"659,18","712,32"
6,ADMINISTRAÇÃO,Matutino,4.2,"690,28","727,72"
7,ADMINISTRAÇÃO,Matutino,"Amplaconcorrência","732,56","780,10"
8,ADMINISTRAÇÃO,Noturno,1.1,"539,58","539,58"
9,ADMINISTRAÇÃO,Noturno,1.2,"655,08","672,28"
10,ADMINISTRAÇÃO,Noturno,2.1,"604,22","604,22"
11,ADMINISTRAÇÃO,Noturno,2.2,"686,44","699,42"
12,ADMINISTRAÇÃO,Noturno,3.1,"600,62","600,62"
13,ADMINISTRAÇÃO,Noturno,3.2,"661,98","681,62"
14,ADMINISTRAÇÃO,Noturno,4.2,"709,44","740,12"
15,ADMINISTRAÇÃO,Noturno,"Amplaconcorrência","723,42","769,14"
16,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.1,"527,88","527,88"
17,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,1.2,"633,18","648,38"
18,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,2.2,"651,08","667,80"
19,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.1,"560,82","560,82"
20,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,3.2,"639,02","659,90"
21,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,4.2,"666,56","709,84"
22,ADMINISTRAÇÃO (MONTES CLAROS),Noturno,"Amplaconcorrência","691,32","723,04"
23,AGRONOMIA,Matutino,1.1,"536,70","536,70"
24,AGRONOMIA,Matutino,1.2,"613,04","661,06"
25,AGRONOMIA,Matutino,2.2,"635,66","639,16"
26,AGRONOMIA,Matutino,3.1,"491,14","491,14"
27,AGRONOMIA,Matutino,3.2,"585,54","668,62"
28,AGRONOMIA,Matutino,4.2,"653,62","678,72"
29,AGRONOMIA,Matutino,"Amplaconcorrência","653,02","696,74"
30,ANTROPOLOGIA,Noturno,1.1,"596,64","596,64"
31,ANTROPOLOGIA,Noturno,1.2,"619,48","650,64"
32,ANTROPOLOGIA,Noturno,2.2,"656,02","669,84"
33,ANTROPOLOGIA,Noturno,3.2,"637,14","679,88"
34,ANTROPOLOGIA,Noturno,4.2,"689,64","724,94"
35,ANTROPOLOGIA,Noturno,"Amplaconcorrência","697,86","754,00"
36,AQUACULTURA,Matutino,1.1,"516,98","516,98"
37,AQUACULTURA,Matutino,1.2,"597,02","627,04"
38,AQUACULTURA,Matutino,2.1,"551,26","551,26"
39,AQUACULTURA,Matutino,2.2,"628,66","646,84"
40,AQUACULTURA,Matutino,3.1,"524,08","524,08"
41,AQUACULTURA,Matutino,3.2,"612,06","628,34"
42,AQUACULTURA,Matutino,4.2,"655,00","691,12"
43,AQUACULTURA,Matutino,"Amplaconcorrência","648,52","751,12"
44,ARQUITETURA E URBANISMO,Matutino,1.1,"557,76","557,76"
45,ARQUITETURA E URBANISMO,Matutino,1.2,"667,18","706,62"
46,ARQUITETURA E URBANISMO,Matutino,2.1,"625,90","625,90"
47,ARQUITETURA E URBANISMO,Matutino,2.2,"698,84","732,08"
48,ARQUITETURA E URBANISMO,Matutino,3.1,"483,92","483,92"
49,ARQUITETURA E URBANISMO,Matutino,3.2,"660,84","730,84"
50,ARQUITETURA E URBANISMO,Matutino,4.1,"642,70","642,70"
51,ARQUITETURA E URBANISMO,Matutino,4.2,"737,06","761,38"
52,ARQUITETURA E URBANISMO,Matutino,"Amplaconcorrência","741,08","773,38"
53,ARQUITETURA E URBANISMO,Noturno,1.1,"588,32","588,32"
54,ARQUITETURA E URBANISMO,Noturno,1.2,"673,10","695,74"
55,ARQUITETURA E URBANISMO,Noturno,2.1,"528,34","528,34"
56,ARQUITETURA E URBANISMO,Noturno,2.2,"694,56","721,36"
57,ARQUITETURA E URBANISMO,Noturno,3.1,"555,82","555,82"
58,ARQUITETURA E URBANISMO,Noturno,3.2,"674,52","714,94"
59,ARQUITETURA E URBANISMO,Noturno,4.1,"616,78","616,78"
60,ARQUITETURA E URBANISMO,Noturno,4.2,"717,78","764,26"
61,ARQUITETURA E URBANISMO,Noturno,"Amplaconcorrência","730,34","760,90"
62,ARQUIVOLOGIA,Noturno,1.1,"529,08","529,08"
63,ARQUIVOLOGIA,Noturno,1.2,"599,56","617,60"
64,ARQUIVOLOGIA,Noturno,2.2,"623,64","632,02"
65,ARQUIVOLOGIA,Noturno,3.1,"356,90","356,90"
66,ARQUIVOLOGIA,Noturno,3.2,"606,34","645,84"
67,ARQUIVOLOGIA,Noturno,4.2,"630,16","649,92"
68,ARQUIVOLOGIA,Noturno,"Amplaconcorrência","647,06","695,08"
69,BIBLIOTECONOMIA,Matutino,1.2,"606,42","637,98"
70,BIBLIOTECONOMIA,Matutino,2.1,"403,04","403,04"
71,BIBLIOTECONOMIA,Matutino,2.2,"616,00","659,34"
72,BIBLIOTECONOMIA,Matutino,3.2,"604,64","658,68"
73,BIBLIOTECONOMIA,Matutino,4.1,"481,52","481,52"
74,BIBLIOTECONOMIA,Matutino,4.2,"640,20","662,20"
75,BIBLIOTECONOMIA,Matutino,"Amplaconcorrência","641,98","708,14"
76,BIBLIOTECONOMIA,Noturno,1.1,"577,86","577,86"
77,BIBLIOTECONOMIA,Noturno,1.2,"620,28","632,54"
78,BIBLIOTECONOMIA,Noturno,2.2,"653,82","670,50"
79,BIBLIOTECONOMIA,Noturno,3.1,"556,72","556,72"
80,BIBLIOTECONOMIA,Noturno,3.2,"621,14","640,04"
81,BIBLIOTECONOMIA,Noturno,4.2,"642,80","673,60"
82,BIBLIOTECONOMIA,Noturno,"Amplaconcorrência","632,70","690,60"
83,BIOMEDICINA,Noturno,1.1,"638,42","638,42"
84,BIOMEDICINA,Noturno,1.2,"697,12","711,24"
85,BIOMEDICINA,Noturno,2.2,"715,68","725,36"
86,BIOMEDICINA,Noturno,3.1,"580,90","580,90"
87,BIOMEDICINA,Noturno,3.2,"687,94","723,04"
88,BIOMEDICINA,Noturno,4.2,"729,82","748,30"
89,BIOMEDICINA,Noturno,"Amplaconcorrência","746,60","776,32"
90,CIÊNCIA DA COMPUTAÇÃO,Matutino,1.1,"547,10","547,10"
91,CIÊNCIA DA COMPUTAÇÃO,Matutino,1.2,"685,16","711,64"
92,CIÊNCIA DA COMPUTAÇÃO,Matutino,2.1,"705,12","705,12"
93,CIÊNCIA DA COMPUTAÇÃO,Matutino,2.2,"721,42","740,90"
94,CIÊNCIA DA COMPUTAÇÃO,Matutino,3.1,"594,14","594,14"
95,CIÊNCIA DA COMPUTAÇÃO,Matutino,3.2,"691,30","730,52"
96,CIÊNCIA DA COMPUTAÇÃO,Matutino,4.1,"543,86","543,86"
97,CIÊNCIA DA COMPUTAÇÃO,Matutino,4.2,"750,16","777,70"
98,CIÊNCIA DA COMPUTAÇÃO,Matutino,"Amplaconcorrência","756,38","817,30"
99,CIÊNCIAS ATUARIAIS,Matutino,1.2,"643,10","659,66"
100,CIÊNCIAS ATUARIAIS,Matutino,2.2,"669,10","671,48"
101,CIÊNCIAS ATUARIAIS,Matutino,3.2,"636,32","650,70"
102,CIÊNCIAS ATUARIAIS,Matutino,4.2,"697,88","699,50"
103,CIÊNCIAS ATUARIAIS,Matutino,"Amplaconcorrência","702,76","762,30"
104,CIÊNCIAS BIOLÓGICAS,Matutino,1.1,"585,74","585,74"
105,CIÊNCIAS BIOLÓGICAS,Matutino,1.2,"663,74","696,90"
106,CIÊNCIAS BIOLÓGICAS,Matutino,2.1,"611,70","611,70"
107,CIÊNCIAS BIOLÓGICAS,Matutino,2.2,"692,74","717,14"
108,CIÊNCIAS BIOLÓGICAS,Matutino,3.1,"574,34","574,34"
109,CIÊNCIAS BIOLÓGICAS,Matutino,3.2,"660,98","711,04"
110,CIÊNCIAS BIOLÓGICAS,Matutino,4.1,"602,66","602,66"
111,CIÊNCIAS BIOLÓGICAS,Matutino,4.2,"691,14","730,40"
112,CIÊNCIAS BIOLÓGICAS,Matutino,"Amplaconcorrência","723,68","787,78"
113,CIÊNCIAS BIOLÓGICAS,Noturno,1.1,"532,88","532,88"
114,CIÊNCIAS BIOLÓGICAS,Noturno,1.2,"651,56","673,60"
115,CIÊNCIAS BIOLÓGICAS,Noturno,2.1,"618,12","618,12"
116,CIÊNCIAS BIOLÓGICAS,Noturno,2.2,"675,00","711,12"
117,CIÊNCIAS BIOLÓGICAS,Noturno,3.1,"566,88","566,88"
118,CIÊNCIAS BIOLÓGICAS,Noturno,3.2,"648,64","702,18"
119,CIÊNCIAS BIOLÓGICAS,Noturno,4.1,"636,70","636,70"
120,CIÊNCIAS BIOLÓGICAS,Noturno,4.2,"696,82","713,56"
121,CIÊNCIAS BIOLÓGICAS,Noturno,"Amplaconcorrência","703,44","733,98"
122,CIÊNCIAS CONTÁBEIS,Noturno,1.1,"566,14","566,14"
123,CIÊNCIAS CONTÁBEIS,Noturno,1.2,"659,22","669,02"
124,CIÊNCIAS CONTÁBEIS,Noturno,2.1,"595,90","595,90"
125,CIÊNCIAS CONTÁBEIS,Noturno,2.2,"679,20","704,98"
126,CIÊNCIAS CONTÁBEIS,Noturno,3.1,"559,08","559,08"
127,CIÊNCIAS CONTÁBEIS,Noturno,3.2,"658,68","691,60"
128,CIÊNCIAS CONTÁBEIS,Noturno,4.1,"565,34","565,34"
129,CIÊNCIAS CONTÁBEIS,Noturno,4.2,"703,74","736,76"
130,CIÊNCIAS CONTÁBEIS,Noturno,"Amplaconcorrência","707,20","769,28"
131,CIÊNCIAS DO ESTADO,Vespertino,1.2,"642,94","678,00"
132,CIÊNCIAS DO ESTADO,Vespertino,2.1,"580,46","580,46"
133,CIÊNCIAS DO ESTADO,Vespertino,2.2,"665,98","690,50"
134,CIÊNCIAS DO ESTADO,Vespertino,3.1,"473,34","473,34"
135,CIÊNCIAS DO ESTADO,Vespertino,3.2,"645,68","678,32"
136,CIÊNCIAS DO ESTADO,Vespertino,4.2,"699,80","715,36"
137,CIÊNCIAS DO ESTADO,Vespertino,"Amplaconcorrência","706,72","773,44"
138,CIÊNCIAS ECONÔMICAS,Matutino,1.1,"591,96","591,96"
139,CIÊNCIAS ECONÔMICAS,Matutino,1.2,"662,64","702,16"
140,CIÊNCIAS ECONÔMICAS,Matutino,2.2,"719,60","740,92"
141,CIÊNCIAS ECONÔMICAS,Matutino,3.1,"588,52","588,52"
142,CIÊNCIAS ECONÔMICAS,Matutino,3.2,"679,38","716,92"
143,CIÊNCIAS ECONÔMICAS,Matutino,4.1,"644,74","644,74"
144,CIÊNCIAS ECONÔMICAS,Matutino,4.2,"723,20","762,48"
145,CIÊNCIAS ECONÔMICAS,Matutino,"Amplaconcorrência","753,86","791,38"
146,CIÊNCIAS SOCIAIS,Matutino,1.1,"509,72","509,72"
147,CIÊNCIAS SOCIAIS,Matutino,1.2,"625,34","662,68"
148,CIÊNCIAS SOCIAIS,Matutino,2.1,"607,06","607,06"
149,CIÊNCIAS SOCIAIS,Matutino,2.2,"680,70","720,84"
150,CIÊNCIAS SOCIAIS,Matutino,3.1,"504,84","504,84"
151,CIÊNCIAS SOCIAIS,Matutino,3.2,"632,16","675,70"
152,CIÊNCIAS SOCIAIS,Matutino,4.1,"633,80","633,80"
153,CIÊNCIAS SOCIAIS,Matutino,4.2,"693,22","753,44"
154,CIÊNCIAS SOCIAIS,Matutino,"Amplaconcorrência","706,30","768,50"
155,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,1.1,"548,02","548,02"
156,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,1.2,"613,68","627,76"
157,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,2.1,"573,26","573,26"
158,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,2.2,"647,22","668,42"
159,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,3.1,"487,30","487,30"
160,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,3.2,"632,46","653,00"
161,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,4.2,"674,74","701,28"
162,CIÊNCIAS SOCIOAMBIENTAIS,Noturno,"Amplaconcorrência","674,52","716,60"
163,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,1.1,"454,42","454,42"
164,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,1.2,"603,72","627,56"
165,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,2.2,"645,08","654,86"
166,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,3.2,"622,76","630,90"
167,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,4.2,"669,46","686,88"
168,"CONSERVAÇÃO E RESTAURAÇÃO DE BENSCULTURAIS MÓVEIS",Matutino,"Amplaconcorrência","677,14","764,98"
169,CONTROLADORIA E FINANÇAS,Matutino,1.1,"485,98","485,98"
170,CONTROLADORIA E FINANÇAS,Matutino,1.2,"645,58","660,86"
171,CONTROLADORIA E FINANÇAS,Matutino,2.1,"542,52","542,52"
172,CONTROLADORIA E FINANÇAS,Matutino,2.2,"689,94","700,86"
173,CONTROLADORIA E FINANÇAS,Matutino,3.2,"650,56","693,68"
174,CONTROLADORIA E FINANÇAS,Matutino,4.2,"714,60","767,42"
175,CONTROLADORIA E FINANÇAS,Matutino,"Amplaconcorrência","721,36","761,66"
176,DESIGN,Noturno,1.1,"530,56","530,56"
177,DESIGN,Noturno,1.2,"665,20","684,26"
178,DESIGN,Noturno,2.1,"657,98","657,98"
179,DESIGN,Noturno,2.2,"688,98","711,04"
180,DESIGN,Noturno,3.1,"534,76","534,76"
181,DESIGN,Noturno,3.2,"662,36","703,06"
182,DESIGN,Noturno,4.1,"661,92","661,92"
183,DESIGN,Noturno,4.2,"706,68","724,68"
184,DESIGN,Noturno,"Amplaconcorrência","718,18","764,04"
185,DIREITO,Matutino,1.1,"625,10","641,22"
186,DIREITO,Matutino,1.2,"680,72","721,36"
187,DIREITO,Matutino,2.1,"631,10","638,44"
188,DIREITO,Matutino,2.2,"709,60","734,46"
189,DIREITO,Matutino,3.1,"618,18","619,86"
190,DIREITO,Matutino,3.2,"685,10","740,58"
191,DIREITO,Matutino,4.1,"636,02","656,60"
192,DIREITO,Matutino,4.2,"730,22","766,68"
193,DIREITO,Matutino,"Amplaconcorrência","758,04","832,82"
194,DIREITO,Noturno,1.1,"617,56","657,62"
195,DIREITO,Noturno,1.2,"679,02","712,36"
196,DIREITO,Noturno,2.1,"612,04","660,48"
197,DIREITO,Noturno,2.2,"709,10","744,94"
198,DIREITO,Noturno,3.1,"623,56","669,92"
199,DIREITO,Noturno,3.2,"686,54","724,00"
200,DIREITO,Noturno,4.1,"635,60","639,60"
201,DIREITO,Noturno,4.2,"723,30","754,28"
202,DIREITO,Noturno,"Amplaconcorrência","747,64","803,26"
203,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,1.1,"581,30","581,30"
204,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,1.2,"644,06","704,84"
205,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,2.1,"542,76","542,76"
206,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,2.2,"676,24","684,52"
207,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,3.1,"541,34","541,34"
208,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,3.2,"655,72","679,68"
209,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,4.1,"568,90","568,90"
210,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,4.2,"678,64","704,56"
211,EDUCAÇÃO FÍSICA (Bacharelado),Matutino,"Amplaconcorrência","695,84","747,32"
212,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,1.1,"493,96","493,96"
213,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,1.2,"645,36","687,10"
214,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,2.2,"669,64","677,66"
215,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,3.1,"596,16","596,16"
216,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,3.2,"647,98","670,34"
217,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,4.2,"676,90","680,92"
218,EDUCAÇÃO FÍSICA (Bacharelado),Noturno,"Amplaconcorrência","692,84","741,00"
219,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,1.1,"538,52","538,52"
220,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,1.2,"622,18","667,22"
221,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,2.1,"503,22","503,22"
222,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,2.2,"660,70","681,52"
223,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,3.1,"510,98","510,98"
224,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,3.2,"627,32","668,20"
225,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,4.1,"525,10","525,10"
226,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,4.2,"667,00","678,30"
227,EDUCAÇÃO FÍSICA (Licenciatura),Matutino,"Amplaconcorrência","680,72","734,92"
228,ENFERMAGEM,Matutino,1.1,"602,94","602,94"
229,ENFERMAGEM,Matutino,1.2,"682,38","710,38"
230,ENFERMAGEM,Matutino,2.1,"647,74","647,74"
231,ENFERMAGEM,Matutino,2.2,"705,66","718,94"
232,ENFERMAGEM,Matutino,3.1,"640,06","640,06"
233,ENFERMAGEM,Matutino,3.2,"672,78","713,20"
234,ENFERMAGEM,Matutino,4.1,"661,72","661,72"
235,ENFERMAGEM,Matutino,4.2,"718,48","738,26"
236,ENFERMAGEM,Matutino,"Amplaconcorrência","720,22","766,94"
237,ENGENHARIA AEROESPACIAL,Matutino,1.1,"509,26","509,26"
238,ENGENHARIA AEROESPACIAL,Matutino,1.2,"701,62","733,92"
239,ENGENHARIA AEROESPACIAL,Matutino,2.1,"610,62","610,62"
240,ENGENHARIA AEROESPACIAL,Matutino,2.2,"736,48","753,50"
241,ENGENHARIA AEROESPACIAL,Matutino,3.1,"653,18","653,18"
242,ENGENHARIA AEROESPACIAL,Matutino,3.2,"710,94","725,14"
243,ENGENHARIA AEROESPACIAL,Matutino,4.2,"748,08","764,16"
244,ENGENHARIA AEROESPACIAL,Matutino,"Amplaconcorrência","767,60","815,68"
245,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,1.1,"640,10","640,10"
246,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,1.2,"609,30","654,32"
247,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,2.2,"643,36","677,24"
248,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,3.1,"536,10","536,10"
249,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,3.2,"613,94","641,32"
250,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,4.2,"650,20","722,32"
251,ENGENHARIA AGRÍCOLA E AMBIENTAL,Matutino,"Amplaconcorrência","645,58","722,86"
252,ENGENHARIA AMBIENTAL,Matutino,1.1,"463,30","463,30"
253,ENGENHARIA AMBIENTAL,Matutino,1.2,"646,40","709,80"
254,ENGENHARIA AMBIENTAL,Matutino,2.1,"574,08","574,08"
255,ENGENHARIA AMBIENTAL,Matutino,2.2,"696,84","707,48"
256,ENGENHARIA AMBIENTAL,Matutino,3.1,"557,50","557,50"
257,ENGENHARIA AMBIENTAL,Matutino,3.2,"659,92","690,72"
258,ENGENHARIA AMBIENTAL,Matutino,4.2,"710,78","750,80"
259,ENGENHARIA AMBIENTAL,Matutino,"Amplaconcorrência","722,08","789,02"
260,ENGENHARIA CIVIL,Matutino,1.1,"529,32","560,02"
261,ENGENHARIA CIVIL,Matutino,1.2,"649,26","705,54"
262,ENGENHARIA CIVIL,Matutino,2.1,"572,72","608,44"
263,ENGENHARIA CIVIL,Matutino,2.2,"689,52","742,74"
264,ENGENHARIA CIVIL,Matutino,3.1,"560,82","564,70"
265,ENGENHARIA CIVIL,Matutino,3.2,"659,66","710,64"
266,ENGENHARIA CIVIL,Matutino,4.1,"504,88","507,20"
267,ENGENHARIA CIVIL,Matutino,4.2,"706,50","741,54"
268,ENGENHARIA CIVIL,Matutino,"Amplaconcorrência","724,58","778,88"
269,ENGENHARIA DE ALIMENTOS,Matutino,1.1,"508,24","508,24"
270,ENGENHARIA DE ALIMENTOS,Matutino,1.2,"609,30","665,38"
271,ENGENHARIA DE ALIMENTOS,Matutino,2.2,"654,24","678,04"
272,ENGENHARIA DE ALIMENTOS,Matutino,3.2,"602,68","630,40"
273,ENGENHARIA DE ALIMENTOS,Matutino,4.2,"660,54","685,58"
274,ENGENHARIA DE ALIMENTOS,Matutino,"Amplaconcorrência","664,30","710,98"
275,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,1.1,"461,02","461,02"
276,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,1.2,"665,00","693,98"
277,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,2.1,"569,52","569,52"
278,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,2.2,"709,44","729,12"
279,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,3.2,"669,22","718,66"
280,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,4.1,"715,78","715,78"
281,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,4.2,"729,58","754,86"
282,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Matutino,"Amplaconcorrência","739,74","785,96"
283,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,1.1,"533,96","533,96"
284,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,1.2,"661,24","683,60"
285,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,2.1,"592,84","592,84"
286,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,2.2,"701,46","742,92"
287,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,3.1,"628,72","628,72"
288,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,3.2,"671,38","724,96"
289,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,4.2,"723,20","740,52"
290,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Noturno,"Amplaconcorrência","727,44","778,38"
291,ENGENHARIA DE MINAS,Matutino,1.1,"479,76","479,76"
292,ENGENHARIA DE MINAS,Matutino,1.2,"632,86","686,28"
293,ENGENHARIA DE MINAS,Matutino,2.1,"521,58","521,58"
294,ENGENHARIA DE MINAS,Matutino,2.2,"684,38","692,84"
295,ENGENHARIA DE MINAS,Matutino,3.2,"653,42","682,30"
296,ENGENHARIA DE MINAS,Matutino,4.1,"524,58","524,58"
297,ENGENHARIA DE MINAS,Matutino,4.2,"699,84","720,12"
298,ENGENHARIA DE MINAS,Matutino,"Amplaconcorrência","709,16","769,10"
299,ENGENHARIA DE PRODUÇÃO,Matutino,1.1,"587,22","587,22"
300,ENGENHARIA DE PRODUÇÃO,Matutino,1.2,"658,84","682,78"
301,ENGENHARIA DE PRODUÇÃO,Matutino,2.2,"690,52","706,58"
302,ENGENHARIA DE PRODUÇÃO,Matutino,3.1,"525,28","525,28"
303,ENGENHARIA DE PRODUÇÃO,Matutino,3.2,"662,28","705,02"
304,ENGENHARIA DE PRODUÇÃO,Matutino,4.1,"527,10","527,10"
305,ENGENHARIA DE PRODUÇÃO,Matutino,4.2,"721,06","755,38"
306,ENGENHARIA DE PRODUÇÃO,Matutino,"Amplaconcorrência","738,42","797,26"
307,ENGENHARIA DE SISTEMAS,Noturno,1.1,"468,64","468,64"
308,ENGENHARIA DE SISTEMAS,Noturno,1.2,"667,28","688,94"
309,ENGENHARIA DE SISTEMAS,Noturno,2.1,"593,80","593,80"
310,ENGENHARIA DE SISTEMAS,Noturno,2.2,"707,58","717,34"
311,ENGENHARIA DE SISTEMAS,Noturno,3.2,"675,86","728,24"
312,ENGENHARIA DE SISTEMAS,Noturno,4.2,"719,60","740,88"
313,ENGENHARIA DE SISTEMAS,Noturno,"Amplaconcorrência","724,18","764,80"
314,ENGENHARIA ELÉTRICA,Matutino,1.1,"513,52","513,52"
315,ENGENHARIA ELÉTRICA,Matutino,1.2,"669,52","687,26"
316,ENGENHARIA ELÉTRICA,Matutino,2.1,"664,80","664,80"
317,ENGENHARIA ELÉTRICA,Matutino,2.2,"707,60","733,50"
318,ENGENHARIA ELÉTRICA,Matutino,3.1,"489,20","489,20"
319,ENGENHARIA ELÉTRICA,Matutino,3.2,"672,58","699,76"
320,ENGENHARIA ELÉTRICA,Matutino,4.1,"663,22","663,22"
321,ENGENHARIA ELÉTRICA,Matutino,4.2,"743,82","771,78"
322,ENGENHARIA ELÉTRICA,Matutino,"Amplaconcorrência","746,90","820,32"
323,ENGENHARIA FLORESTAL,Matutino,1.1,"492,98","492,98"
324,ENGENHARIA FLORESTAL,Matutino,1.2,"606,10","627,80"
325,ENGENHARIA FLORESTAL,Matutino,2.2,"641,50","654,78"
326,ENGENHARIA FLORESTAL,Matutino,3.1,"567,94","567,94"
327,ENGENHARIA FLORESTAL,Matutino,3.2,"607,46","616,58"
328,ENGENHARIA FLORESTAL,Matutino,4.2,"627,22","653,26"
329,ENGENHARIA FLORESTAL,Matutino,"Amplaconcorrência","628,86","724,02"
330,ENGENHARIA MECÂNICA,Matutino,1.1,"587,02","587,02"
331,ENGENHARIA MECÂNICA,Matutino,1.2,"658,90","705,82"
332,ENGENHARIA MECÂNICA,Matutino,2.1,"600,18","600,18"
333,ENGENHARIA MECÂNICA,Matutino,2.2,"710,90","758,58"
334,ENGENHARIA MECÂNICA,Matutino,3.1,"541,30","541,30"
335,ENGENHARIA MECÂNICA,Matutino,3.2,"660,32","712,50"
336,ENGENHARIA MECÂNICA,Matutino,4.1,"627,00","627,00"
337,ENGENHARIA MECÂNICA,Matutino,4.2,"729,28","770,20"
338,ENGENHARIA MECÂNICA,Matutino,"Amplaconcorrência","751,46","805,84"
339,ENGENHARIA MECÂNICA,Noturno,1.1,"561,32","561,32"
340,ENGENHARIA MECÂNICA,Noturno,1.2,"657,08","693,94"
341,ENGENHARIA MECÂNICA,Noturno,2.1,"531,76","531,76"
342,ENGENHARIA MECÂNICA,Noturno,2.2,"699,06","713,88"
343,ENGENHARIA MECÂNICA,Noturno,3.1,"597,38","597,38"
344,ENGENHARIA MECÂNICA,Noturno,3.2,"665,90","726,42"
345,ENGENHARIA MECÂNICA,Noturno,4.1,"604,50","604,50"
346,ENGENHARIA MECÂNICA,Noturno,4.2,"719,84","751,96"
